1483,2,95051,100,712591
1272,2,94110,10,82800
1342,1,94016,137,1041220
1995,2,94121,88,698126
2721,3,94301,205,1216632
2603,3,94301,147,1001594
1690,2,94016,52,453367
2446,4,94301,187,1173380
1940,3,95014,172,1088142
1939,3,94087,85,499139
1368,2,95051,41,306895
1882,3,94016,71,569286
1864,3,95014,89,559827
1580,1,94306,100,732357
1871,3,94087,135,768286
1802,2,94087,113,689599
1956,3,94121,138,1052849
1486,4,94121,123,737723
1432,2,95051,73,654930
1487,1,95051,48,359817
1374,2,94306,56,390823
2361,4,94025,125,785965
1398,2,95051,22,186516
2135,3,94016,126,1173695
2289,2,94087,182,1420785
2234,3,94087,183,1315329
2371,3,94025,204,1408034
1188,2,94110,43,332032
1237,3,95051,93,637360
2392,5,94022,255,1211786
1568,2,95014,199,984732
1863,3,94087,187,992673
1728,2,95014,206,1249329
3000,5,94022,272,1836873
1015,2,94110,123,981801
2284,2,94025,151,872070
3134,5,94022,247,1613494
2364,4,94025,163,1008352
1643,4,95014,178,994801
1537,2,94110,124,1500693
2344,4,95014,162,1411446
2667,3,94301,226,1266411
1284,2,94016,73,476871
2277,3,95014,164,1441148
1397,3,94016,93,554532
1507,2,94016,94,749884
1357,1,95051,51,369257
1102,1,94110,10,71471
1563,2,94306,109,932318
2153,4,95014,135,915422
3102,5,94022,307,2283419
1779,4,94087,125,756455
1434,3,95051,116,948100
2369,3,94301,189,1026411
1391,4,94121,178,823758
1438,2,95051,55,405139
1513,3,94016,112,873190
969,2,95051,64,348405
1755,2,94016,61,484614
2360,3,94087,144,962540
1281,2,94306,70,386172
1223,2,94110,34,310026
980,1,95051,86,423740
1739,1,94016,84,834473
1972,2,94306,87,951082
1042,2,94016,103,480986
1919,3,94087,152,1036680
1850,2,95014,152,860733
2004,4,94087,120,832081
1397,2,94306,23,167794
1756,2,94025,204,1042304
2672,5,94022,225,1103078
1126,3,95014,170,694519
2915,4,94301,230,1489267
1919,3,94121,106,740516
1411,1,94306,75,566511
2696,5,94022,200,1295180
1862,2,94025,165,821068
1898,3,94087,110,786478
1972,1,94110,61,898003
1490,2,95051,104,925521
2397,5,94301,188,1226272
1566,2,94110,10,98835
1694,3,95014,143,909166
1599,4,94087,182,1050766
2811,6,94022,287,1576258
1580,2,94306,49,403634
3089,5,94022,268,1936997
2359,3,94301,215,1084644
1955,2,94306,97,996757
1847,2,94306,86,797723
2327,4,94301,203,1166652
2192,2,94306,88,866350
1907,4,94121,100,769025
1741,2,94016,107,1065722
2445,2,94025,174,1204883
1979,3,94121,100,731289
2576,2,94025,143,930362
2803,4,94301,194,1290176
2366,3,94121,99,824570
